#,specie,oxidation_state,binary_oxide,icsd,mpid
0,Hf,4,HfO2,27313,mp-352
1,Zr,4,ZrO2,68782,mp-2858
2,La,3,La2O3,96201,mp-2292
3,Cd,2,CdO,24802,mp-1132
4,Zn,2,ZnO,31060,mp-2133
5,Ba,2,BaO,52278,mp-1342
6,Sr,2,SrO,28904,mp-2472
7,Ca,2,CaO,52783,mp-2605
8,Mg,2,MgO,52026,mp-1265
9,Na,1,Na2O,60435,mp-2352
10,Cr,3,Cr2O3,38125,mp-19399
11,Nb,5,Nb2O5,25750,
12,Ge,4,GeO2,92551,mp-470
13,Ti,4,TiO2,69331,mp-2657
14,Al,3,Al2O3,43732,mp-1143
15,Li,1,Li2O,57411,mp-1960
16,P,5,P2O5,40865,mp-562613
17,Si,4,SiO2,98629,mp-7000
18,Bi,3,Bi2O3,94229,mp-23262
19,Pr,3,Pr2O3,647290,mp-16705
20,Sm,3,Sm2O3,647461,mp-218
21,Eu,3,Eu2O3,40472,
22,Gd,3,Gd2O3,27996,mp-504886
23,Tb,3,Tb2O3,647509,mp-1056
24,Dy,3,Dy2O3,27994,mp-2345
25,Ho,3,Ho2O3,41268,mp-812
26,Er,3,Er2O3,630897,mp-679
27,Tm,3,Tm2O3,78582,mp-1767
28,Yb,3,Yb2O3,33658,mp-2814
29,Lu,3,Lu2O3,151762,mp-1427
30,Y,3,Y2O3,181825,mp-2652
31,Rh,3,Rh2O3,181829,mp-542734
32,Ru,4,RuO2,290496,mp-825
33,Sb,5,Sb2O5,1422,mp-1705
34,Ta,5,Ta2O5,,mvc-4415
35,Sn,4,SnO2,39173,mp-856
36,In,3,In2O3,181833,mp-22598
37,Ga,3,Ga2O3,166198,mp-886
38,Sc,3,Sc2O3,647397,mp-216
39,As,5,As2O5,10015,mp-555434
40,Nd,3,Nd2O3,645664,mp-1045
41,Ag,1,Ag2O,174087,mp-353
42,Au,3,Au2O3,8014,mp-27253
43,Cs,1,Cs2O,27919,mp-7988
44,V,5,V2O5,40488,mp-25620
45,Pt,4,PtO2,647316,mp-1285
46,B,3,B2O3,24649,mp-306
47,Mn,3,Mn2O3,76087,mp-542877
48,Be,2,BeO,29271,mp-2542
49,Co,2,CoO,53057,mp-19079
50,Mo,4,MoO2,36263,mp-510536
51,Rb,1,Rb2O,77676,mp-1394
52,Re,4,ReO,647362,mp-7228
53,Fe,3,Fe2O3,96076,mp-24972
54,Ni,2,NiO,184626,mp-19009
55,Se,4,SeO,412234,mp-726
56,K,1,K2O,180571,mp-971
57,Hg,2,HgO,40316,mp-1224
58,Te,4,TeO2,26844,mp-2125
59,W,6,WO3,50728,mp-19342
60,Pb,2,PbO,26596,mp-672237
61,Tc,4,TcO2,173153,mp-33137
62,Ir,4,IrO2,640887,mp-2723
63,Pd,2,PdO,26598,mp-1336
64,Tl,1,Tl2O,77699,mp-27484
65,Os,4,OsO2,647241,mp-996
66,Cu,2,CuO,628618,mp-1692